route_short_name,route_type_name,rail_type,segment_id,avg_travel_time,trip_count,from_stop,to_stop,avg_time_readable,mode,minutes,route,delay,time_category
M41,Bus,Non-Rail,"Berlin, Fuldastr. → Berlin, Erkstr.",0 days 00:01:42.509960159,1506,"Berlin, Fuldastr.","Berlin, Erkstr.",1 Min 42 Sec,Bus,1.7084993359833334,"Berlin, Fuldastr. → Berlin, Erkstr.",0.17084993359833334,Short
M41,Bus,Non-Rail,"Berlin, Erkstr. → Geygerstr. (Berlin)",0 days 00:01:05.657370517,1506,"Berlin, Erkstr.",Geygerstr. (Berlin),1 Min 5 Sec,Bus,1.0942895086166666,"Berlin, Erkstr. → Geygerstr. (Berlin)",0.10942895086166667,Short
M41,Bus,Non-Rail,Hertzbergplatz (Berlin) → Mareschstr. (Berlin),0 days 00:01:08.326693227,1506,Hertzbergplatz (Berlin),Mareschstr. (Berlin),1 Min 8 Sec,Bus,1.13877822045,Hertzbergplatz (Berlin) → Mareschstr. (Berlin),0.11387782204500002,Short
M41,Bus,Non-Rail,"Ziegrastr. (Berlin) → Berlin, Dammweg/Sonnenallee",0 days 00:00:58.665338645,1506,Ziegrastr. (Berlin),"Berlin, Dammweg/Sonnenallee",0 Min 58 Sec,Bus,0.9777556440833333,"Ziegrastr. (Berlin) → Berlin, Dammweg/Sonnenallee",0.09777556440833333,Short
M41,Bus,Non-Rail,Mareschstr. (Berlin) → S Sonnenallee (Berlin),0 days 00:01:00,1506,Mareschstr. (Berlin),S Sonnenallee (Berlin),1 Min 0 Sec,Bus,1.0,Mareschstr. (Berlin) → S Sonnenallee (Berlin),0.1,Short
M41,Bus,Non-Rail,Michael-Bohnen-Ring (Berlin) → Peter-Anders-Str. (Berlin),0 days 00:00:49.840637450,1506,Michael-Bohnen-Ring (Berlin),Peter-Anders-Str. (Berlin),0 Min 49 Sec,Bus,0.8306772908333334,Michael-Bohnen-Ring (Berlin) → Peter-Anders-Str. (Berlin),0.08306772908333335,Short
M41,Bus,Non-Rail,"Berlin, Dammweg/Sonnenallee → S Köllnische Heide (Berlin)",0 days 00:01:00,1506,"Berlin, Dammweg/Sonnenallee",S Köllnische Heide (Berlin),1 Min 0 Sec,Bus,1.0,"Berlin, Dammweg/Sonnenallee → S Köllnische Heide (Berlin)",0.1,Short
M41,Bus,Non-Rail,S Köllnische Heide (Berlin) → Schulenburgpark (Berlin),0 days 00:01:00,1506,S Köllnische Heide (Berlin),Schulenburgpark (Berlin),1 Min 0 Sec,Bus,1.0,S Köllnische Heide (Berlin) → Schulenburgpark (Berlin),0.1,Short
M41,Bus,Non-Rail,S Sonnenallee (Berlin) → Ziegrastr. (Berlin),0 days 00:00:58.665338645,1506,S Sonnenallee (Berlin),Ziegrastr. (Berlin),0 Min 58 Sec,Bus,0.9777556440833333,S Sonnenallee (Berlin) → Ziegrastr. (Berlin),0.09777556440833333,Short
M41,Bus,Non-Rail,Schulenburgpark (Berlin) → Michael-Bohnen-Ring (Berlin),0 days 00:00:59.482071713,1506,Schulenburgpark (Berlin),Michael-Bohnen-Ring (Berlin),0 Min 59 Sec,Bus,0.9913678618833334,Schulenburgpark (Berlin) → Michael-Bohnen-Ring (Berlin),0.09913678618833334,Short
M41,Bus,Non-Rail,"Sonnenallee/Pannierstr. (Berlin) → Berlin, Fuldastr.",0 days 00:01:57.649402390,1506,Sonnenallee/Pannierstr. (Berlin),"Berlin, Fuldastr.",1 Min 57 Sec,Bus,1.9608233731666667,"Sonnenallee/Pannierstr. (Berlin) → Berlin, Fuldastr.",0.1960823373166667,Short
M41,Bus,Non-Rail,U Hermannplatz/Urbanstr. (Berlin) → U Hermannplatz/Sonnenallee (Berlin),0 days 00:01:34.741035856,1506,U Hermannplatz/Urbanstr. (Berlin),U Hermannplatz/Sonnenallee (Berlin),1 Min 34 Sec,Bus,1.5790172642666667,U Hermannplatz/Urbanstr. (Berlin) → U Hermannplatz/Sonnenallee (Berlin),0.15790172642666667,Short
M41,Bus,Non-Rail,U Hermannplatz/Sonnenallee (Berlin) → Sonnenallee/Pannierstr. (Berlin),0 days 00:01:33.107569721,1506,U Hermannplatz/Sonnenallee (Berlin),Sonnenallee/Pannierstr. (Berlin),1 Min 33 Sec,Bus,1.5517928286833333,U Hermannplatz/Sonnenallee (Berlin) → Sonnenallee/Pannierstr. (Berlin),0.15517928286833335,Short
