route_short_name,prev_stop_name,stop_name,avg_travel_time,trip_count,avg_time_readable
EC 89,Brennero/Brenner,Fortezza/Franzensfeste,0 days 00:44:00,8,44 Min 0 Sec
EC 89,Brennero/Brenner,Innsbruck Hbf,0 days 00:48:00,5,48 Min 0 Sec
EC 89,Bressanone/Brixen,Bolzano/Bozen,0 days 00:32:00,8,32 Min 0 Sec
EC 89,Bressanone/Brixen,Fortezza/Franzensfeste,0 days 00:11:00,5,11 Min 0 Sec
EC 89,Fortezza/Franzensfeste,Brennero/Brenner,0 days 00:35:00,5,35 Min 0 Sec
EC 89,Fortezza/Franzensfeste,Bressanone/Brixen,0 days 00:11:00,8,11 Min 0 Sec
EC 89,Innsbruck Hbf,Brennero/Brenner,0 days 00:42:00,8,42 Min 0 Sec
EC 89,Innsbruck Hbf,Jenbach,0 days 00:24:00,3,24 Min 0 Sec
EC 89,Innsbruck Hbf,Wörgl Hbf,0 days 00:38:00,2,38 Min 0 Sec
EC 89,Jenbach,Innsbruck Hbf,0 days 00:20:00,6,20 Min 0 Sec
EC 89,Jenbach,Wörgl Hbf,0 days 00:14:00,3,14 Min 0 Sec
EC 89,Kufstein,Rosenheim,0 days 00:21:00,5,21 Min 0 Sec
EC 89,Kufstein,Wörgl Hbf,0 days 00:10:00,8,10 Min 0 Sec
EC 89,München Hbf,München Ost,0 days 00:10:00,7,10 Min 0 Sec
EC 89,München Ost,München Hbf,0 days 00:11:00,4,11 Min 0 Sec
EC 89,München Ost,Rosenheim,0 days 00:29:52.500000,8,29 Min 52 Sec
EC 89,Padova,Venezia Mestre,0 days 00:25:30,6,25 Min 30 Sec
EC 89,Padova,Vicenza,0 days 00:21:00,4,21 Min 0 Sec
EC 89,Rosenheim,Kufstein,0 days 00:22:00,8,22 Min 0 Sec
EC 89,Rosenheim,München Hbf,0 days 00:55:00,1,55 Min 0 Sec
EC 89,Rosenheim,München Ost,0 days 00:32:00,4,32 Min 0 Sec
